field	category	type_or_unit	definition	interpretation_or_caution
Accession	Discovery and sequence evidence	Identifier	Stable database identifier for a protein record.	An accession identifies a record; it does not by itself establish protein function or evidence quality.
Centroid / representative	Discovery and sequence evidence	Sequence role	Sequence selected algorithmically by DeepClust to represent a cluster.	It is a clustering anchor, not necessarily a known E3, the best annotated protein, the most ligandable member or a preferred species.
Cluster member	Discovery and sequence evidence	Sequence role	Sequence assigned by DeepClust to a representative sequence.	Raw membership is deliberately broad and is checked again by exact representative-member realignment.
E3-seeded cluster	Discovery and sequence evidence	Group label	Raw DeepClust cluster containing at least one accession matched to the inherited E3 seed table.	Seed support motivates review of the sequence neighbourhood but does not prove that every member is an E3.
Raw E3-seeded member	Discovery and sequence evidence	Sequence class	Any sequence assigned to an E3-seeded raw cluster.	This is broad discovery context; strict thresholds have not yet been applied.
Strict member	Discovery and sequence evidence	Sequence class	E3-seeded cluster member passing all exact post-DeepClust representative-member thresholds.	The production rule required identity at least 50%, representative and member coverage at least 50%, bit score greater than 20 and E-value at most 1e-10.
Strict non-seed candidate	Discovery and sequence evidence	Sequence class	Sequence absent from the inherited seed list that belongs to an E3-seeded cluster and passes every exact representative-member threshold.	It is a candidate homologue for review, not an automatically confirmed E3 ligase.
Non-strict matched seed	Discovery and sequence evidence	Sequence class	Matched inherited E3 seed that fails at least one representative-based strict criterion.	It is retained as prior annotation and provenance rather than silently discarded.
Representative coverage	Discovery and sequence evidence	Fraction (0-1)	Alignment length divided by representative-sequence length.	This directional coverage is distinct from member coverage; both were required to pass the strict member rule.
Member coverage	Discovery and sequence evidence	Fraction (0-1)	Alignment length divided by member-sequence length.	This directional coverage is distinct from representative coverage; both were required to pass the strict member rule.
Percent identity	Discovery and sequence evidence	Percentage	Percentage of aligned amino-acid positions that are identical in the representative-member alignment.	Interpret together with both directional coverages; a high identity over a short segment is not full-length homology.
Bit score	Discovery and sequence evidence	Alignment score	Normalised local-alignment score reported by DIAMOND; larger values indicate stronger sequence support.	It is one part of the strict member rule and should not be interpreted independently of alignment length, identity, coverage and E-value.
E-value	Discovery and sequence evidence	Expected count	Expected number of alignments of comparable score arising by chance under the search model; smaller is stronger.	DeepClust used a broad discovery value, whereas the exact post-cluster strict check required E-value at most 1e-10.
Tantan masking	Discovery and sequence evidence	Sequence-processing method	Symmetric masking of low-complexity or compositionally biased sequence during DIAMOND calculations.	It reduces misleading similarity driven by repetitive composition while leaving the original protein sequences unchanged in published resources.
1KP sample code	Discovery and sequence evidence	Identifier	Four-letter code embedded in an inherited One Thousand Plant Transcriptomes scaffold identifier.	It supports provenance and sample tracing; it is not a species identifier on its own.
DIAMOND	Discovery and sequence evidence	Software	Fast protein sequence-alignment software used to build the search database, perform DeepClust grouping and recalculate exact representative-member evidence.	The post-cluster realignment is an audit of existing cluster assignments, not a second clustering step.
Post-DeepClust realignment	Discovery and sequence evidence	Workflow step	Deterministic star-shaped alignment of every accepted member back to its assigned DeepClust representative.	It recalculates exact identity, coordinates, coverages, bit score and E-value; it is not an all-versus-all comparison or a multiple-sequence alignment.
Representative self-alignment	Discovery and sequence evidence	QC row	The representative sequence aligned to itself, giving one explicit self row per raw cluster.	Expected self rows are used as a completeness invariant for the realignment table.
Low-complexity sequence	Discovery and sequence evidence	Sequence property	Protein region dominated by a limited set of residues or repetitive composition.	Such regions can create misleading similarity and are why the controlled tantan masking analysis was retained.
One-row-per-evolutionary-group table	Workflow and data resources	Table design	Decision table in which each row represents one distinct reconciled evolutionary group.	It is not one row per protein, pocket or DeepClust cluster; linked one-to-many evidence remains in normalised tables.
Discovery	Workflow and data resources	Evidence layer	E3-seeded expansion of sequence space using similarity search, DeepClust grouping and exact realignment.	Discovery finds candidate sequence neighbourhoods; it does not establish orthology, E3 activity or ligandability.
Candidate evidence	Workflow and data resources	Evidence layer	Traceable record explaining why a discovered cluster entered the analysis, including seed support, sequence thresholds, members, provenance and exclusions.	It supports audit and prioritisation rather than experimental validation.
Orthology	Workflow and data resources	Evidence layer	Evidence asking which proteins descend from the same ancestral gene across species.	It converts broad sequence neighbourhoods into the evolutionary-group decision unit.
Domain evidence	Workflow and data resources	Evidence layer	InterProScan and Pfam support for E3-associated protein-family architecture among assessable members and species.	Missing annotation is kept separate from an assessed absence of the required domain support.
Expression evidence	Workflow and data resources	Evidence layer	Expression Atlas support among uniquely mapped, assessable species and biological contexts.	It supports prioritisation but does not prove protein abundance, E3 enzymatic activity or expression in every target species.
Release	Workflow and data resources	Workflow state	Checksum-bound read-only Stage 11 hand-off containing validated analytical outputs, manifests, environments and application resources.	A release records a computational authority; it is not an experimental nomination.
Stage	Workflow and data resources	Workflow unit	Versioned, restartable part of the end-to-end analysis with declared inputs, outputs, validation and completion state.	Output-file existence alone is not proof that a stage completed successfully.
Completion marker	Workflow and data resources	Provenance file	Machine-readable file published only after a task or stage passes its required checks.	A valid marker is tied to the expected inputs and configuration; stale markers must not justify unsafe reuse.
Atomic publication	Workflow and data resources	Reliability control	Writing results to a unique temporary staging area, validating them there and then publishing the final outputs as one completed unit.	This prevents partial files from being mistaken for completed results.
Resume	Workflow and data resources	Execution mode	Restart-safe mode that reuses only outputs whose inputs, configuration and completion evidence remain valid.	Resume should not silently reuse results after a scientific input or threshold has changed.
Manifest	Workflow and data resources	Provenance file	Machine-readable register of effective configuration, inputs, outputs, checksums, versions and important counts.	The manifest is the audit authority for what was actually run, rather than what a command was intended to run.
Checksum	Workflow and data resources	Digest	Fixed-length cryptographic digest, commonly SHA-256, used to verify that a file has not changed.	A matching checksum establishes byte identity, not scientific validity.
Provenance	Workflow and data resources	Audit evidence	Recorded lineage of data, commands, software versions, Git state, configuration, checksums and execution context.	Complete provenance makes a result reproducible and helps distinguish current authority from historical runs.
DuckDB	Workflow and data resources	File format / software	Embedded analytical database used to query and join the integrated evidence efficiently.	It is a derived query engine; TSV, Parquet and manifests remain durable portable sources.
Parquet	Workflow and data resources	File format	Compressed columnar format used for large typed analytical tables.	It preserves data types efficiently but is not intended for manual reading in a text editor.
TSV	Workflow and data resources	File format	Tab-separated text table used for portable, inspectable exports.	Tabs delimit fields; embedded list values use explicit separators and should not be split as if they were extra columns.
Snakemake	Workflow and data resources	Software	Workflow engine that constructs the dependency graph and submits bounded scientific tasks.	A successful controller coordinates work; it does not itself establish scientific support.
Slurm	Workflow and data resources	Software	Cluster scheduler used to allocate compute nodes and record job state, resources and logs.	The login-node wrapper and log viewers do not perform the long scientific calculations.
Peak RSS	Workflow and data resources	Memory measure	Maximum observed resident memory for the monitored process or process tree.	It is a resource-use measurement, not total allocated memory or disk use.
AlphaFold Database model	Structures and confidence	Predicted structure	Precomputed monomer model supplying three-dimensional coordinates and residue-level confidence.	It is a static computational prediction and may omit partners, ligands, alternative conformations and uncertain domain orientation.
mmCIF	Structures and confidence	File format	Macromolecular Crystallographic Information File containing model coordinates and explicit chain and residue identifiers.	The workflow uses mmCIF identifiers directly and never assumes author numbering equals FASTA numbering.
pLDDT	Structures and confidence	Confidence score (0-100)	AlphaFold local confidence estimate for each residue; higher values generally indicate a more credible local fold.	It is not a ligandability score. Project categories are below 50 very low, 50 to below 70 low, 70 to below 90 confident and at least 90 very high.
PAE	Structures and confidence	Confidence matrix	Predicted aligned error between residue pairs, describing confidence in their relative placement.	PAE is especially important for cavities formed between domains; locally high pLDDT does not guarantee a reliable inter-domain orientation.
Confidence JSON	Structures and confidence	AlphaFold asset	Separate machine-readable per-residue confidence file supplied by AlphaFold Database.	It is an optional cross-check because pLDDT can also be read from the model mmCIF.
MSA A3M	Structures and confidence	AlphaFold asset	Multiple-sequence alignment used to provide evolutionary and co-variation information to AlphaFold.	It is useful provenance but does not prove that the predicted conformation is biologically correct.
Label chain	Structures and confidence	Structure locator	mmCIF chain identifier from the model's label coordinate system.	Retain with label_seq_id and author locators so mappings remain explicit and reproducible.
label_seq_id	Structures and confidence	Structure locator	One-based residue position in the mmCIF model's label sequence.	It is checked against the authoritative Stage 05 FASTA sequence and residue identity before downstream use.
Author residue numbering	Structures and confidence	Structure locator	Author-provided chain, residue number and insertion code retained in the mmCIF.	It can differ from label numbering and must not be silently treated as the FASTA position.
Insertion code	Structures and confidence	Structure locator	Optional character distinguishing residues that share an author sequence number.	Non-empty or ambiguous insertion-code situations remain explicit during model-to-sequence reconciliation.
Model-to-FASTA mapping	Structures and confidence	Mapping step	Reconciliation of each selected model residue to the authoritative full protein sequence using explicit locators and residue identity.	This prevents shifted numbering or missing coordinates from creating false conservation claims.
MAPPED_EXACT	Structures and confidence	Mapping status	Status assigned when the one-based model label position is in range and the model residue identity exactly matches the authoritative FASTA residue.	Only exact mappings are accepted for downstream pocket comparison.
Pocket-residue association	Structures and confidence	Relation	One row linking a predicted pocket to one model residue.	A residue may occur in more than one pocket, so association counts are not counts of unique protein residues.
Model confidence	Structures and confidence	Evidence summary	Whole-model residue counts and pLDDT distribution used to assess general coordinate credibility.	A model can pass a broad confidence threshold while containing low-confidence local regions.
Pocket confidence	Structures and confidence	Evidence summary	Mapping and pLDDT summary restricted to residues assigned to one predicted pocket.	High local confidence improves coordinate credibility but does not prove that the cavity binds a ligand.
Ligandability	Pocket detection and conservation	Concept	Practical potential of a protein site to support useful small-molecule recognition and development.	It combines several evidence types and is broader than any single FPocket or P2Rank score.
Cavity / pocket	Pocket detection and conservation	Structural feature	Geometrical depression or enclosed region on a protein surface identified as a possible small-molecule binding site.	A predicted cavity is a hypothesis; its existence and score do not establish binding or recruiter suitability.
